
                nIpmactParameters= 50
V_ion,cm/s         1.677532e+05            7.059633e+05            3.485293e+06            1.720665e+07            8.494808e+07            4.193829e+08   

       i      Rho,cm     DeltaE,eV    Rho,cm     DeltaE,eV    Rho,cm     DeltaE,eV    Rho,cm     DeltaE,eV    Rho,cm     DeltaE,eV    Rho,cm     DeltaE,eV

       0    1.6227e-03  6.4639e-09  1.6268e-03  6.4930e-09  1.6426e-03  6.4335e-09  1.6438e-03  6.4256e-09  1.6560e-03  6.3523e-09  1.6809e-03  6.2336e-09
       1    1.6910e-03  6.1944e-09  1.7037e-03  6.1950e-09  1.7538e-03  6.0238e-09  1.7577e-03  6.0072e-09  1.7970e-03  5.8478e-09  1.8793e-03  5.5556e-09
       2    1.7622e-03  5.9283e-09  1.7842e-03  5.9015e-09  1.8726e-03  5.6237e-09  1.8796e-03  5.5989e-09  1.9501e-03  5.3594e-09  2.1012e-03  4.9109e-09
       3    1.8364e-03  5.6663e-09  1.8686e-03  5.6131e-09  1.9994e-03  5.2352e-09  2.0098e-03  5.2028e-09  2.1162e-03  4.8904e-09  2.3493e-03  4.3066e-09
       4    1.9137e-03  5.4089e-09  1.9569e-03  5.3306e-09  2.1348e-03  4.8597e-09  2.1491e-03  4.8205e-09  2.2965e-03  4.4434e-09  2.6267e-03  3.7480e-09
       5    1.9942e-03  5.1563e-09  2.0494e-03  5.0544e-09  2.2794e-03  4.4986e-09  2.2981e-03  4.4534e-09  2.4921e-03  4.0205e-09  2.9368e-03  3.2384e-09
       6    2.0782e-03  4.9091e-09  2.1463e-03  4.7852e-09  2.4337e-03  4.1531e-09  2.4574e-03  4.1026e-09  2.7044e-03  3.6233e-09  3.2836e-03  2.7790e-09
       7    2.1656e-03  4.6677e-09  2.2478e-03  4.5234e-09  2.5986e-03  3.8239e-09  2.6277e-03  3.7691e-09  2.9348e-03  3.2528e-09  3.6713e-03  2.3695e-09
       8    2.2568e-03  4.4323e-09  2.3540e-03  4.2694e-09  2.7745e-03  3.5118e-09  2.8098e-03  3.4534e-09  3.1848e-03  2.9095e-09  4.1048e-03  2.0084e-09
       9    2.3518e-03  4.2033e-09  2.4653e-03  4.0235e-09  2.9624e-03  3.2170e-09  3.0046e-03  3.1559e-09  3.4562e-03  2.5931e-09  4.5894e-03  1.6930e-09
      10    2.4508e-03  3.9809e-09  2.5819e-03  3.7861e-09  3.1630e-03  2.9397e-09  3.2128e-03  2.8767e-09  3.7506e-03  2.3035e-09  5.1313e-03  1.4199e-09
      11    2.5539e-03  3.7653e-09  2.7039e-03  3.5573e-09  3.3773e-03  2.6801e-09  3.4355e-03  2.6159e-09  4.0701e-03  2.0396e-09  5.7372e-03  1.1853e-09
      12    2.6614e-03  3.5567e-09  2.8318e-03  3.3374e-09  3.6060e-03  2.4371e-09  3.6736e-03  2.3731e-09  4.4168e-03  1.8005e-09  6.4146e-03  9.8525e-10
      13    2.7734e-03  3.3553e-09  2.9656e-03  3.1264e-09  3.8502e-03  2.2118e-09  3.9282e-03  2.1480e-09  4.7930e-03  1.5849e-09  7.1719e-03  8.1582e-10
      14    2.8902e-03  3.1610e-09  3.1059e-03  2.9244e-09  4.1109e-03  2.0030e-09  4.2005e-03  1.9399e-09  5.2014e-03  1.3914e-09  8.0187e-03  6.7315e-10
      15    3.0118e-03  2.9741e-09  3.2527e-03  2.7314e-09  4.3893e-03  1.8101e-09  4.4916e-03  1.7483e-09  5.6444e-03  1.2183e-09  8.9655e-03  5.5367e-10
      16    3.1386e-03  2.7945e-09  3.4065e-03  2.5473e-09  4.6865e-03  1.6325e-09  4.8029e-03  1.5724e-09  6.1253e-03  1.0643e-09  1.0024e-02  4.5407e-10
      17    3.2707e-03  2.6222e-09  3.5675e-03  2.3722e-09  5.0039e-03  1.4695e-09  5.1358e-03  1.4114e-09  6.6471e-03  9.2755e-10  1.1208e-02  3.7143e-10
      18    3.4084e-03  2.4573e-09  3.7361e-03  2.2058e-09  5.3428e-03  1.3203e-09  5.4918e-03  1.2644e-09  7.2133e-03  8.0667e-10  1.2531e-02  3.0310e-10
      19    3.5518e-03  2.2761e-09  3.9128e-03  2.0480e-09  5.7046e-03  1.1840e-09  5.8724e-03  1.1307e-09  7.8278e-03  7.0012e-10  1.4010e-02  2.4682e-10
      20    3.7013e-03  2.1259e-09  4.0978e-03  1.8872e-09  6.0909e-03  1.0599e-09  6.2794e-03  1.0087e-09  8.4946e-03  6.0641e-10  1.5665e-02  2.0060e-10
      21    3.8571e-03  1.9828e-09  4.2915e-03  1.7463e-09  6.5034e-03  9.4709e-10  6.7146e-03  8.9870e-10  9.2183e-03  5.2432e-10  1.7514e-02  1.6275e-10
      22    4.0195e-03  1.8467e-09  4.4944e-03  1.6134e-09  6.9438e-03  8.4483e-10  7.1800e-03  7.9930e-10  1.0004e-02  4.5255e-10  1.9582e-02  1.3183e-10
